from 3.294 to 4.095	SPEAKER_00: Hey, check this out.
from 214.914 to 219.296	SPEAKER_00:It's crazy how when you're not used to feeling them, you could think it's something else.
from 220.41 to 225.054	SPEAKER_00: I mean, I've been living here for a while now and I've definitely felt my share of earthquakes.
from 225.134 to 228.497	SPEAKER_00:I mean, you know, when you live here, it's a given that you're going to experience earthquakes.
from 228.777 to 231.099	SPEAKER_00:You just hope that you're not going to be here for the big one.
from 233.741 to 241.367	SPEAKER_00:When I first moved here, it was about five years after the Loma Prieta earthquake, which was a very big earthquake here.
from 242.168 to 249.374	SPEAKER_00:And, um, there are a lot of people who lived here who I met who had actually been living in the area when the earthquake hit.
from 249.83 to 251.631	SPEAKER_00: So it was interesting to get their perspective.
from 252.451 to 258.414	SPEAKER_00:And it also made me remember where I was when I heard about the Loma Prieta earthquake.
from 258.834 to 265.778	SPEAKER_00:I was watching the World Series on TV, and it was taking place in San Francisco.
from 266.538 to 275.362	SPEAKER_00:So as I'm watching it, suddenly the announcer starts saying, wow, I think we're feeling an earthquake here.
from 275.782 to 277.263	SPEAKER_00:And the cameras started shaking.
from 277.902 to 280.584	SPEAKER_00: And all of a sudden, the TV coverage cut out.
from 281.384 to 284.066	SPEAKER_00:So I wanted to get a rundown of what happened.
from 284.086 to 293.732	SPEAKER_00:So I turned to the news station, and within a few minutes, they were discussing this gigantic earthquake that had hit San Francisco.
from 294.032 to 301.837	SPEAKER_00:And they started showing pictures, maybe 30 minutes later, of these people who were trying to weed through the rubble
from 302.253 to 304.853	SPEAKER_00: of these buildings that had been like coming down.
from 305.314 to 307.594	SPEAKER_00:So, I mean, it was pretty scary.
from 307.614 to 308.534	SPEAKER_00:I'll tell you why.
from 309.054 to 309.414	SPEAKER_00:Yeah.
from 309.874 to 315.275	SPEAKER_01:Yeah, well, you know, the three months I was living in Japan, I experienced two.
from 316.455 to 322.997	SPEAKER_01:Both of those were very different, very different from the one I'd experienced here and also very different from the one in Bangkok.
from 323.057 to 331.038	SPEAKER_01:But one of them, I was actually up in my apartment which was on the fifth floor of a building and I was woken up at about 5 o'clock in the morning to the building swaying.
from 331.772 to 340.758	SPEAKER_01: And because earthquakes are like a dime a dozen in Japan, they've built a lot of their buildings to absorb the shock.
from 341.639 to 342.8	SPEAKER_01:So that's why it was swaying.
from 342.84 to 344.861	SPEAKER_01:It was really, it was a very surreal feel.
from 347.903 to 349.144	SPEAKER_01:Hi, this is Kristen Dodds.
from 349.564 to 350.645	SPEAKER_00:And this is Joe Weiss.
from 351.385 to 358.93	SPEAKER_00:And we just wanted to let you know that this material is copyrighted in the year 2008 by Learn Real English LLC.
from 362.164 to 364.959	SPEAKER_00: www.learnrealenglish.com
